username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
lycheeeeeeee__,1254922686075207685,2020-04-27 23:57:38+00:00,0,#coronavirus,,0,0,How I walk through the gulag on a daily... #coronavirus ,,,,,coronavirus,0.0,0.0,1.0,0.0
Quamasparagi,1254922637316444162,2020-04-27 23:57:26+00:00,5,#COVID19 #Coronavirus,@IntlCrimCourt,2,0,.@IntlCrimCourt Please pass this evidence to the Office of the Prosecutor. The UK government has conducted an unlawful herd immunity experiment and is in breach of Article 2 ECHR. #COVID19 #Coronavirus ,,government,Coronavirus,,Office Prosecutor UK ECHR Coronavirus,0.3182,0.0,0.929,0.071
The_NewArab,1254922035685457922,2020-04-27 23:55:03+00:00,1,#Muslims #coronavirus,,0,0,"Society - ""All #Muslims will have a taste of a convert's Ramadan this year, as #coronavirus lockdowns around the world prevent the faithful from gathering"" writes Ella Linskens ",,,Ella Linskens,,Muslims Ramadan # Ella Linskens,0.4588,0.0,0.867,0.133
UELHCSoc,1254921356925419525,2020-04-27 23:52:21+00:00,2,#COVID19 #coronavirus #donation,@bellaalbu @CyprusinBrazil @BrazilEmbassyUK @10Ronaldinho @YourSouthend @amessd_southend @JamesDuddridge,1,0,"#COVID19 #coronavirus has affected us all in different ways @bellaalbu needs your #donation, no matter how small or big to help her complete her academic journey @CyprusinBrazil @BrazilEmbassyUK @10Ronaldinho @YourSouthend @amessd_southend @JamesDuddridge",,,@bellaalbu,,COVID19 coronavirus @bellaalbu @10Ronaldinho,0.2561,0.078,0.8440000000000001,0.079
deebs1up,1254919551164219396,2020-04-27 23:45:10+00:00,0,#Raybekahputafingerdown #Coronavirus,,0,0,"I can’t stop listening to this, she’s so hard #Raybekahputafingerdown #Coronavirus ",,,Coronavirus,,Raybekahputafingerdown Coronavirus,-0.4707,0.311,0.6890000000000001,0.0
WorkPsychol,1254918370073481217,2020-04-27 23:40:29+00:00,0,#Coronavirus #universities,@telebusiness,0,1,Excellent argument by Keith Burnett: #Coronavirus could see #universities go bust without being handed help https://www.telegraph.co.uk/business/2020/04/24/coronavirus-could-see-universities-go-bust-without-handed-help/?WT.mc_id=tmg_share_tw via @telebusiness,,,,@telebusiness,Keith Burnett Coronavirus https://www.telegraph.co.uk business/2020/04/24 coronavirus,-0.015,0.203,0.639,0.158
Sybiltech1,1254917786511511553,2020-04-27 23:38:10+00:00,1,#WFH #wfhlife #remoteworking #coronavirus #COVID19 #technology #Apps #StayHome #StayHome,,2,0,"My post on ""5 Best Tools for Remote Working"" was published on http://WeCoffee.io! Read on for our selection of apps to help you work from home more effectively: https://wecoffee.io/5-best-tools-for-remote-working/ #WFH #wfhlife #remoteworking #coronavirus #COVID19 #technology #Apps #StayHome",,,,,Best Remote Working https://wecoffee.io/5-best-tools-for-remote-working/ # WFH Apps,0.8856,0.0,0.7659999999999999,0.23399999999999999
DrVinPatel,1254917598854119424,2020-04-27 23:37:25+00:00,31,#PPEshortage #Panorama #coronavirus #NHS,@MattHancock @BorisJohnson @patel4witham,13,2,"Poor planning years ago, no reaction when the warning came, lies to the public, NHS continue to fight & lose colleagues on front line whilst you twist your figures. You count that glove and towel. #PPEshortage #Panorama #coronavirus #NHS @MattHancock @BorisJohnson @patel4witham",,nhs,,,NHS # Panorama NHS @patel4witham,-0.93,0.305,0.695,0.0
Miss_breBaby,1254917333149245441,2020-04-27 23:36:22+00:00,1,#coronavirus,,0,0,Apparently #coronavirus is leaving Nigeria on the 4th of May ,,,,,Nigeria May,0.0,0.0,1.0,0.0
bywirenews,1254915492961292290,2020-04-27 23:29:03+00:00,1,#coronavirus,,0,0,"U.S. President Donald Trump said on Monday that China could have stopped the #coronavirus before it swept the globe and said his administration was conducting ""serious investigations"" into what happened. ",,,,,U.S. President Donald Trump Monday China,-0.29600000000000004,0.10300000000000001,0.897,0.0
LynnClark1,1254915132150419456,2020-04-27 23:27:37+00:00,4,#sepsis #COVID19 #coronavirus,@UKSepsisTrust,0,1,As a sepsis survivor with PSS it is interesting to see that COVID recovery can be similar and good to see @UKSepsisTrust are offering support at this vital time #sepsis #COVID19 #coronavirus ,,,,COVID,PSS COVID19,0.9001,0.0,0.675,0.325
RMDESOUSA,1254914539906359297,2020-04-27 23:25:16+00:00,2,#taskmaster #coronavirus #COVID19 #spring2020 #london #MotherEarth #Flowers #Flowering #season #342hz,,0,1,The Sound of Nature #taskmaster #coronavirus #COVID19 #spring2020 #london #MotherEarth #Flowers #Flowering #season #342hz,,,,,london MotherEarth # Flowers,0.0,0.0,1.0,0.0
HoeStreet,1254914451675000832,2020-04-27 23:24:55+00:00,1,#coronavirus #day32oflockdown #StayHome #StayHome #lockdownfilms,,0,0,"COLIN always wanted to travel, but he didn't realise his selfish actions would cause the next plague. Watch now: https://vimeo.com/412119480 #coronavirus #day32oflockdown #StayHome #lockdownfilms",,,,,coronavirus # StayHome,0.5157,0.0,0.873,0.127
ElifSafakGuven,1254913875524440067,2020-04-27 23:22:37+00:00,0,#Coronavirus,,0,0,"Twitter Public Policy on Twitter: "" We’re stepping up internal &amp;amp; external efforts to protect the public conversation &amp;amp; help people find authoritative health information on #Coronavirus / Covid-19. https://blog.twitter.com/en_us/topics/company/2020/covid-19.html"" / Twitter -",,,Coronavirus,,Twitter Twitter internal amp;amp amp;amp # Coronavirus Covid-19 https://blog.twitter.com/en_us/topics/company/2020/covid-19.html Twitter,0.6486,0.0,0.8540000000000001,0.146
Onesia1,1254913782813536256,2020-04-27 23:22:15+00:00,3,#coronavirus #cbd #workingfromhome #gofundme #makemoneyonline,,0,0,#coronavirus #cbd #workingfromhome #gofundme #makemoneyonline Hempworx/CBD Associate,,,,Hempworx/CBD Associate,coronavirus # # # gofundme Hempworx CBD Associate,0.0,0.0,1.0,0.0
AuareKRD,1254912647176355841,2020-04-27 23:17:44+00:00,0,#BorisJohnson #nhs #coronavirus,,0,0,Counting each surgical glove as one instead of as a pair. What's that about #BorisJohnson ? It seems you're prioritising saving face instead of saving the #nhs carers who if you'll remember helped you not long ago. How will people ever justify voting for you again? #coronavirus,,nhs,,,BorisJohnson nhs coronavirus,0.0,0.0,1.0,0.0
PaulBucy,1254912397275430920,2020-04-27 23:16:45+00:00,0,#iHateYouCorona #RIP #NHS #NHSheroes #UK #coronavirus #COVID19,@piersmorgan @mrjamesob @DrRosena @jonsnowC4,0,0,#iHateYouCorona Thank you Eileen Landers. #RIP #NHS #NHSheroes #UK #coronavirus #COVID19 @piersmorgan @mrjamesob @DrRosena @jonsnowC4,,nhs,,,# iHateYouCorona Eileen Landers RIP NHS UK COVID19 @jonsnowC4,0.3612,0.0,0.848,0.152
PaulBucy,1254912189951029249,2020-04-27 23:15:55+00:00,0,#iHateYouCorona #RIP #NHS #NHSheroes #UK #coronavirus #COVID19,@piersmorgan @mrjamesob @DrRosena @jonsnowC4,0,0,#iHateYouCorona Thank you Jane Mary Jongwe. #RIP #NHS #NHSheroes #UK #coronavirus #COVID19 @piersmorgan @mrjamesob @DrRosena @jonsnowC4,,nhs,,,# iHateYouCorona Jane Mary Jongwe RIP NHS UK COVID19 @jonsnowC4,0.3612,0.0,0.857,0.14300000000000002
pubrooms,1254912144061104128,2020-04-27 23:15:44+00:00,0,#pubrooms #coronavirus #CoronavirusIreland #Covid_19 #COVID,@gocornerblog,0,0,#pubrooms supporting great British Pubs :) RT @gocornerblog: Do you think any pubs/bars/clubs will open again this year? #coronavirus #CoronavirusIreland #Covid_19 #COVIDー19… https://twitter.com/i/web/status/1254904799910379520,,,,,British Pubs RT coronavirus # CoronavirusIreland COVIDー19,0.875,0.0,0.667,0.33299999999999996
femiokes,1254911936908726277,2020-04-27 23:14:55+00:00,2,#Germany #coronavirus,@spectator,1,1,Is #Germany treating its #coronavirus patients differently? https://www.spectator.co.uk/article/is-germany-treating-its-coronavirus-patients-differently- via @spectator,,,,,Germany https://www.spectator.co.uk germany,0.0,0.0,1.0,0.0
Pattybaby2020,1254911921486204928,2020-04-27 23:14:51+00:00,1,#COVID19 #FakeNews #coronavirus #MediaVirus,,0,0,Apparently reading the Daily Mirror is now also considered a symptom. #COVID19 #FakeNews #coronavirus #MediaVirus,,,,MediaVirus,Daily Mirror FakeNews MediaVirus,0.0,0.0,1.0,0.0
PaulBucy,1254911853022588928,2020-04-27 23:14:35+00:00,0,#iHateYouCorona #RIP #NHS #NHSheroes #UK #coronavirus #COVID19,@piersmorgan @mrjamesob @DrRosena @jonsnowC4,0,0,#iHateYouCorona Thank you Jayesh Patel. #RIP #NHS #NHSheroes #UK #coronavirus #COVID19 @piersmorgan @mrjamesob @DrRosena @jonsnowC4,,nhs,,,# iHateYouCorona Jayesh Patel RIP # NHS UK COVID19 @jonsnowC4,0.3612,0.0,0.848,0.152
AllieRenison,1254911686068273154,2020-04-27 23:13:55+00:00,8,#coronavirus,,6,11,"Far from scientific but feel like I'm hearing about far more negative fallout in food manufacturing/processing sectors (meat esp) from in-house #coronavirus outbreaks in the US than I am in the UK. All i hear about is ""resilience in food supply"" over here. Is it really the case?",,,,,esp coronavirus US UK,-0.5006,0.1,0.84,0.059000000000000004
PaulBucy,1254911474033659906,2020-04-27 23:13:05+00:00,0,#iHateYouCorona #RIP #NHS #NHSheroes #UK #coronavirus #COVID19,@piersmorgan @mrjamesob @DrRosena @jonsnowC4,0,0,#iHateYouCorona Thank you Larni Zuniga. #RIP #NHS #NHSheroes #UK #coronavirus #COVID19 @piersmorgan @mrjamesob @DrRosena @jonsnowC4,,nhs,,,# iHateYouCorona Larni Zuniga RIP NHS UK COVID19 @jonsnowC4,0.3612,0.0,0.848,0.152
coldcallers,1254911471772893184,2020-04-27 23:13:04+00:00,2,#podcast #comedypodcast #podcasting #podcastlife #comedy #podernfamily #podbros #britpodscene #coronavirus #lockdownuk,,5,0,So for all you insomniacs out there in the twittersphere... Here's our new podcast episode to send you off to sleep.... Oh wait #podcast #comedypodcast #podcasting #podcastlife #comedy #podernfamily #podbros #britpodscene #coronavirus #lockdownuk,,,,,coronavirus # lockdownuk,0.3612,0.0,0.9279999999999999,0.07200000000000001
pdiscoveryuk,1254911467125645312,2020-04-27 23:13:03+00:00,1,#COVID19 #coronavirus,@pdiscoveryuk,1,0,"10 Ways Life Must Change After COVID19 - People Development Network https://bit.ly/2VhH5U1 @pdiscoveryuk #COVID19 #coronavirus This virus threatens our mortality and signals we need to make changes, and identify what is important to us. http://peopledevelopmentmagazine.com",,,,Ways Life Must Change,Ways Life COVID19 People Development Network https://bit.ly/2VhH5U1,-0.2023,0.07,0.882,0.048
PaulBucy,1254911188808404994,2020-04-27 23:11:57+00:00,0,#iHateYouCorona #RIP #NHS #NHSheroes #UK #coronavirus #COVID19,@piersmorgan @mrjamesob @DrRosena @jonsnowC4,0,0,#iHateYouCorona Thank you Angie Cunningham. #RIP #NHS #NHSheroes #UK #coronavirus #COVID19 @piersmorgan @mrjamesob @DrRosena @jonsnowC4,,nhs,,,# iHateYouCorona Angie Cunningham RIP NHS UK COVID19 @jonsnowC4,0.3612,0.0,0.848,0.152
